case_id,t_best_dt1,T_dt1,soc_dt1,score_dt1,t_best_dt0.5,T_dt0.5,soc_dt0.5,score_dt0.5,t_best_dt0.25,T_dt0.25,soc_dt0.25,score_dt0.25,t_best_dt0.125,T_dt0.125,soc_dt0.125,score_dt0.125,dT_1.0,dT_0.5,dT_0.25,dSoc_1.0,dSoc_0.5,dSoc_0.25,dt_1.0,dt_0.5,dt_0.25,dscore_1.0,dscore_0.5,dscore_0.25
23124,1140.1000,20.000290,12.286406,42.849965,1140.0000,20.000447,12.285214,42.839033,1140.0000,20.000039,12.284857,42.832540,1139.9000,20.000807,12.284200,42.833684,0.000516803,0.000360245,0.000767655,0.00220632,0.00101414,0.000657615,0.2,0.1,0.1,0.0162812,0.00534929,0.00114352
52025,793.5000,20.000378,13.824013,46.860429,793.4000,20.000518,13.822923,46.862387,793.4000,20.000102,13.822614,46.862224,793.3000,20.000866,13.821986,46.864420,0.000488065,0.000347952,0.000764508,0.00202721,0.000936878,0.000628513,0.2,0.1,0.1,0.00399127,0.00203295,0.00219558
30059,1050.5000,20.000769,15.202118,48.037934,1050.4000,20.000972,15.201131,48.039807,1050.4000,20.000569,15.200875,48.040982,1050.4000,20.000367,15.200748,48.041103,0.000402577,0.000605234,0.000201753,0.00136981,0.00038295,0.000127678,0.1,0,0,0.00316815,0.001296,0.000120322
21181,948.8000,20.000574,13.063263,45.466914,948.7000,20.000764,13.062162,45.469525,948.7000,20.000356,13.061852,45.469086,948.7000,20.000152,13.061698,45.468866,0.000422123,0.000612022,0.000204023,0.00156575,0.000464451,0.000154844,0.1,0,0,0.00195147,0.000659427,0.000219894
28330,0.0000,0.000000,0.000000,0.000000,0.0000,0.000000,0.000000,0.000000,0.0000,0.000000,0.000000,0.000000,0.0000,0.000000,0.000000,0.000000,,,,,,,,,,,,
49589,94.9000,20.000086,18.931520,50.000000,94.8000,20.000145,18.930484,50.000000,94.7000,20.000635,18.929738,50.000000,94.7000,20.000420,18.929593,50.000000,0.00033402,0.000274745,0.000215653,0.00192695,0.000891035,0.000145249,0.2,0.1,0,0,0,0
8060,54.0000,21.905445,10.000248,30.000000,54.2000,21.902760,10.000156,30.000000,54.3000,21.901418,10.000110,30.000000,54.4000,21.900298,10.000323,30.000000,0.00514715,0.00246216,0.00111945,7.44284e-05,0.0001666,0.000212946,0.4,0.2,0.1,0,0,0
42552,0.0000,22.323258,11.272950,30.000000,0.0000,22.322384,11.271906,30.000000,0.0000,22.321947,11.271383,30.000000,0.0000,22.321729,11.271122,30.000000,0.00152912,0.000655411,0.000218499,0.0018288,0.000784026,0.000261451,0,0,0,0,0,0
65359,653.7000,20.000584,15.652433,49.661638,653.6000,20.000650,15.651354,49.659070,653.6000,20.000213,15.651045,49.659453,653.5000,20.000934,15.650429,49.659662,0.000350376,0.000284357,0.000721409,0.00200428,0.000925153,0.000616461,0.2,0.1,0.1,0.00197562,0.000591992,0.000208684
32563,372.9000,20.000159,16.501342,50.000000,372.8000,20.000226,16.500292,50.000000,372.7000,20.000730,16.499535,50.000000,372.7000,20.000511,16.499388,50.000000,0.000351592,0.000285234,0.000219123,0.00195489,0.00090407,0.000147214,0.2,0.1,0,0,0,0
