time_s,temp_c,soc_pct,current_a,heating_kw,remaining_km
0.000000,0.000000000,75.000000000,39.467163950,0.000000,40.000000000
0.500000,-0.000566763,74.994518449,39.467381395,0.000000,39.995833333
1.000000,-0.001133476,74.989036869,39.467598842,0.000000,39.991666667
1.500000,-0.001700139,74.983555258,39.467816292,0.000000,39.987500000
2.000000,-0.002266753,74.978073617,39.468033744,0.000000,39.983333333
2.500000,-0.002833318,74.972591945,39.468251198,0.000000,39.979166667
3.000000,-0.003399833,74.967110244,39.468468654,0.000000,39.975000000
3.500000,-0.003966298,74.961628512,39.468686113,0.000000,39.970833333
4.000000,-0.004532714,74.956146750,39.468903574,0.000000,39.966666667
4.500000,-0.005099080,74.950664958,39.469121037,0.000000,39.962500000
5.000000,-0.005665397,74.945183135,39.469338503,0.000000,39.958333333
5.500000,-0.006231664,74.939701283,39.469555970,0.000000,39.954166667
6.000000,-0.006797882,74.934219400,39.469773440,0.000000,39.950000000
6.500000,-0.007364050,74.928737487,39.469990913,0.000000,39.945833333
7.000000,-0.007930168,74.923255544,39.470208387,0.000000,39.941666667
7.500000,-0.008496238,74.917773571,39.470425864,0.000000,39.937500000
8.000000,-0.009062257,74.912291567,39.470643344,0.000000,39.933333333
8.500000,-0.009628227,74.906809533,39.470860825,0.000000,39.929166667
9.000000,-0.010194148,74.901327469,39.471078309,0.000000,39.925000000
9.500000,-0.010760019,74.895845375,39.471295795,0.000000,39.920833333
10.000000,-0.011325840,74.890363251,39.471513284,0.000000,39.916666667
10.500000,-0.011891613,74.884881096,39.471730774,0.000000,39.912500000
11.000000,-0.012457335,74.879398911,39.471948267,0.000000,39.908333333
11.500000,-0.013023008,74.873916696,39.472165762,0.000000,39.904166667
12.000000,-0.013588632,74.868434451,39.472383260,0.000000,39.900000000
12.500000,-0.014154206,74.862952175,39.472600760,0.000000,39.895833333
13.000000,-0.014719731,74.857469870,39.472818262,0.000000,39.891666667
13.500000,-0.015285206,74.851987534,39.473035766,0.000000,39.887500000
14.000000,-0.015850632,74.846505168,39.473253273,0.000000,39.883333333
14.500000,-0.016416008,74.841022771,39.473470782,0.000000,39.879166667
15.000000,-0.016981335,74.835540345,39.473688294,0.000000,39.875000000
15.500000,-0.017546612,74.830057888,39.473905807,0.000000,39.870833333
16.000000,-0.018111840,74.824575401,39.474123323,0.000000,39.866666667
