time_s,temp_c,soc_pct,current_a,heating_kw,remaining_km
0.000000,5.000000000,65.000000000,39.788536218,0.000000,40.000000000
0.500000,4.999018701,64.994473814,39.788856211,0.000000,39.995833333
1.000000,4.998037486,64.988947584,39.789176211,0.000000,39.991666667
1.500000,4.997056355,64.983421310,39.789496216,0.000000,39.987500000
2.000000,4.996075308,64.977894991,39.789816227,0.000000,39.983333333
2.500000,4.995094345,64.972368628,39.790136244,0.000000,39.979166667
3.000000,4.994113466,64.966842220,39.790456266,0.000000,39.975000000
3.500000,4.993132671,64.961315768,39.790776294,0.000000,39.970833333
4.000000,4.992151960,64.955789271,39.791096327,0.000000,39.966666667
4.500000,4.991171332,64.950262730,39.791416367,0.000000,39.962500000
5.000000,4.990190789,64.944736144,39.791736412,0.000000,39.958333333
5.500000,4.989210329,64.939209514,39.792056463,0.000000,39.954166667
6.000000,4.988229953,64.933682840,39.792376519,0.000000,39.950000000
6.500000,4.987249661,64.928156121,39.792696581,0.000000,39.945833333
7.000000,4.986269453,64.922629357,39.793016649,0.000000,39.941666667
7.500000,4.985289329,64.917102549,39.793336722,0.000000,39.937500000
8.000000,4.984309288,64.911575697,39.793656802,0.000000,39.933333333
8.500000,4.983329332,64.906048800,39.793976887,0.000000,39.929166667
9.000000,4.982349459,64.900521859,39.794296977,0.000000,39.925000000
9.500000,4.981369670,64.894994873,39.794617073,0.000000,39.920833333
10.000000,4.980389965,64.889467843,39.794937175,0.000000,39.916666667
10.500000,4.979410344,64.883940768,39.795257283,0.000000,39.912500000
11.000000,4.978430806,64.878413649,39.795577397,0.000000,39.908333333
11.500000,4.977451353,64.872886486,39.795897516,0.000000,39.904166667
12.000000,4.976471983,64.867359278,39.796217640,0.000000,39.900000000
12.500000,4.975492697,64.861832025,39.796537771,0.000000,39.895833333
13.000000,4.974513494,64.856304729,39.796857907,0.000000,39.891666667
13.500000,4.973534376,64.850777387,39.797178049,0.000000,39.887500000
14.000000,4.972555341,64.845250001,39.797498197,0.000000,39.883333333
14.500000,4.971576390,64.839722571,39.797818350,0.000000,39.879166667
15.000000,4.970597523,64.834195096,39.798138509,0.000000,39.875000000
15.500000,4.969618739,64.828667577,39.798458673,0.000000,39.870833333
16.000000,4.968640040,64.823140013,39.798778844,0.000000,39.866666667
16.500000,4.967661424,64.817612405,39.799099020,0.000000,39.862500000
17.000000,4.966682891,64.812084753,39.799419202,0.000000,39.858333333
17.500000,4.965704443,64.806557055,39.799739389,0.000000,39.854166667
18.000000,4.964726078,64.801029314,39.800059582,0.000000,39.850000000
18.500000,4.963747797,64.795501528,39.800379781,0.000000,39.845833333
19.000000,4.962769599,64.789973697,39.800699986,0.000000,39.841666667
19.500000,4.961791485,64.784445822,39.801020196,0.000000,39.837500000
20.000000,4.960813455,64.778917903,39.801340412,0.000000,39.833333333
20.500000,4.959835509,64.773389939,39.801660634,0.000000,39.829166667
21.000000,4.958857646,64.767861930,39.801980861,0.000000,39.825000000
21.500000,4.957879867,64.762333877,39.802301094,0.000000,39.820833333
22.000000,4.956902171,64.756805780,39.802621333,0.000000,39.816666667
22.500000,4.955924560,64.751277638,39.802941578,0.000000,39.812500000
23.000000,4.954947031,64.745749452,39.803261828,0.000000,39.808333333
23.500000,4.953969587,64.740221221,39.803582084,0.000000,39.804166667
24.000000,4.952992226,64.734692946,39.803902346,0.000000,39.800000000
24.500000,4.952014949,64.729164626,39.804222613,0.000000,39.795833333
25.000000,4.951037755,64.723636262,39.804542886,0.000000,39.791666667
25.500000,4.950060645,64.718107853,39.804863165,0.000000,39.787500000
26.000000,4.949083619,64.712579400,39.805183449,0.000000,39.783333333
26.500000,4.948106676,64.707050902,39.805503739,0.000000,39.779166667
27.000000,4.947129817,64.701522360,39.805824035,0.000000,39.775000000
27.500000,4.946153041,64.695993773,39.806144337,0.000000,39.770833333
28.000000,4.945176349,64.690465142,39.806464644,0.000000,39.766666667
28.500000,4.944199740,64.684936467,39.806784957,0.000000,39.762500000
29.000000,4.943223215,64.679407746,39.807105276,0.000000,39.758333333
29.500000,4.942246774,64.673878982,39.807425601,0.000000,39.754166667
30.000000,4.941270416,64.668350173,39.807745931,0.000000,39.750000000
30.500000,4.940294142,64.662821319,39.808066267,0.000000,39.745833333
31.000000,4.939317951,64.657292421,39.808386608,0.000000,39.741666667
31.500000,4.938341844,64.651763478,39.808706955,0.000000,39.737500000
32.000000,4.937365820,64.646234491,39.809027308,0.000000,39.733333333
32.500000,4.936389880,64.640705460,39.809347667,0.000000,39.729166667
33.000000,4.935414023,64.635176384,39.809668032,0.000000,39.725000000
33.500000,4.934438250,64.629647263,39.809988402,0.000000,39.720833333
34.000000,4.933462561,64.624118098,39.810308778,0.000000,39.716666667
34.500000,4.932486954,64.618588888,39.810629159,0.000000,39.712500000
35.000000,4.931511432,64.613059634,39.810949546,0.000000,39.708333333
35.500000,4.930535992,64.607530336,39.811269939,0.000000,39.704166667
36.000000,4.929560637,64.602000993,39.811590338,0.000000,39.700000000
36.500000,4.928585364,64.596471605,39.811910743,0.000000,39.695833333
37.000000,4.927610175,64.590942173,39.812231153,0.000000,39.691666667
37.500000,4.926635070,64.585412697,39.812551569,0.000000,39.687500000
38.000000,4.925660048,64.579883176,39.812871990,0.000000,39.683333333
38.500000,4.924685110,64.574353610,39.813192417,0.000000,39.679166667
39.000000,4.923710254,64.568824000,39.813512850,0.000000,39.675000000
39.500000,4.922735483,64.563294345,39.813833289,0.000000,39.670833333
40.000000,4.921760795,64.557764646,39.814153734,0.000000,39.666666667
40.500000,4.920786190,64.552234903,39.814474184,0.000000,39.662500000
41.000000,4.919811668,64.546705115,39.814794640,0.000000,39.658333333
41.500000,4.918837230,64.541175282,39.815115101,0.000000,39.654166667
42.000000,4.917862875,64.535645405,39.815435569,0.000000,39.650000000
42.500000,4.916888604,64.530115483,39.815756042,0.000000,39.645833333
43.000000,4.915914416,64.524585517,39.816076520,0.000000,39.641666667
43.500000,4.914940312,64.519055507,39.816397005,0.000000,39.637500000
44.000000,4.913966291,64.513525452,39.816717495,0.000000,39.633333333
44.500000,4.912992353,64.507995352,39.817037991,0.000000,39.629166667
45.000000,4.912018498,64.502465208,39.817358493,0.000000,39.625000000
45.500000,4.911044727,64.496935019,39.817679000,0.000000,39.620833333
46.000000,4.910071039,64.491404786,39.817999513,0.000000,39.616666667
46.500000,4.909097435,64.485874508,39.818320032,0.000000,39.612500000
47.000000,4.908123914,64.480344186,39.818640556,0.000000,39.608333333
47.500000,4.907150476,64.474813819,39.818961087,0.000000,39.604166667
48.000000,4.906177121,64.469283408,39.819281623,0.000000,39.600000000
48.500000,4.905203850,64.463752952,39.819602164,0.000000,39.595833333
49.000000,4.904230662,64.458222452,39.819922712,0.000000,39.591666667
49.500000,4.903257557,64.452691907,39.820243265,0.000000,39.587500000
50.000000,4.902284536,64.447161318,39.820563824,0.000000,39.583333333
50.500000,4.901311598,64.441630684,39.820884388,0.000000,39.579166667
51.000000,4.900338743,64.436100005,39.821204959,0.000000,39.575000000
51.500000,4.899365972,64.430569283,39.821525535,0.000000,39.570833333
52.000000,4.898393283,64.425038515,39.821846116,0.000000,39.566666667
52.500000,4.897420678,64.419507703,39.822166704,0.000000,39.562500000
53.000000,4.896448156,64.413976847,39.822487297,0.000000,39.558333333
53.500000,4.895475718,64.408445946,39.822807896,0.000000,39.554166667
54.000000,4.894503362,64.402915000,39.823128501,0.000000,39.550000000
54.500000,4.893531090,64.397384010,39.823449111,0.000000,39.545833333
55.000000,4.892558901,64.391852975,39.823769727,0.000000,39.541666667
55.500000,4.891586796,64.386321896,39.824090349,0.000000,39.537500000
56.000000,4.890614773,64.380790773,39.824410977,0.000000,39.533333333
56.500000,4.889642834,64.375259604,39.824731610,0.000000,39.529166667
57.000000,4.888670978,64.369728392,39.825052249,0.000000,39.525000000
57.500000,4.887699205,64.364197134,39.825372894,0.000000,39.520833333
58.000000,4.886727515,64.358665833,39.825693544,0.000000,39.516666667
58.500000,4.885755908,64.353134486,39.826014201,0.000000,39.512500000
59.000000,4.884784385,64.347603095,39.826334863,0.000000,39.508333333
59.500000,4.883812944,64.342071660,39.826655530,0.000000,39.504166667
60.000000,4.882841587,64.336540180,39.826976204,0.000000,39.500000000
60.500000,4.881870313,64.331008656,39.827296883,0.000000,39.495833333
61.000000,4.880899122,64.325477087,39.827617568,0.000000,39.491666667
61.500000,4.879928015,64.319945473,39.827938258,0.000000,39.487500000
62.000000,4.878956990,64.314413815,39.828258955,0.000000,39.483333333
62.500000,4.877986048,64.308882112,39.828579657,0.000000,39.479166667
63.000000,4.877015190,64.303350365,39.828900365,0.000000,39.475000000
63.500000,4.876044415,64.297818573,39.829221078,0.000000,39.470833333
64.000000,4.875073722,64.292286737,39.829541798,0.000000,39.466666667
64.500000,4.874103113,64.286754856,39.829862523,0.000000,39.462500000
65.000000,4.873132587,64.281222931,39.830183253,0.000000,39.458333333
65.500000,4.872162144,64.275690961,39.830503990,0.000000,39.454166667
66.000000,4.871191784,64.270158947,39.830824732,0.000000,39.450000000
66.500000,4.870221507,64.264626888,39.831145480,0.000000,39.445833333
67.000000,4.869251314,64.259094784,39.831466234,0.000000,39.441666667
67.500000,4.868281203,64.253562636,39.831786993,0.000000,39.437500000
68.000000,4.867311175,64.248030443,39.832107758,0.000000,39.433333333
68.500000,4.866341230,64.242498206,39.832428529,0.000000,39.429166667
69.000000,4.865371369,64.236965925,39.832749306,0.000000,39.425000000
69.500000,4.864401590,64.231433598,39.833070088,0.000000,39.420833333
70.000000,4.863431894,64.225901227,39.833390876,0.000000,39.416666667
70.500000,4.862462282,64.220368812,39.833711670,0.000000,39.412500000
71.000000,4.861492752,64.214836352,39.834032470,0.000000,39.408333333
71.500000,4.860523305,64.209303848,39.834353275,0.000000,39.404166667
72.000000,4.859553942,64.203771298,39.834674086,0.000000,39.400000000
72.500000,4.858584661,64.198238705,39.834994903,0.000000,39.395833333
73.000000,4.857615463,64.192706067,39.835315726,0.000000,39.391666667
73.500000,4.856646349,64.187173384,39.835636554,0.000000,39.387500000
74.000000,4.855677317,64.181640657,39.835957388,0.000000,39.383333333
74.500000,4.854708368,64.176107885,39.836278228,0.000000,39.379166667
75.000000,4.853739502,64.170575068,39.836599073,0.000000,39.375000000
75.500000,4.852770719,64.165042207,39.836919925,0.000000,39.370833333
76.000000,4.851802019,64.159509302,39.837240782,0.000000,39.366666667
76.500000,4.850833402,64.153976352,39.837561644,0.000000,39.362500000
77.000000,4.849864868,64.148443357,39.837882513,0.000000,39.358333333
77.500000,4.848896417,64.142910318,39.838203387,0.000000,39.354166667
78.000000,4.847928048,64.137377234,39.838524267,0.000000,39.350000000
78.500000,4.846959763,64.131844106,39.838845153,0.000000,39.345833333
79.000000,4.845991560,64.126310933,39.839166044,0.000000,39.341666667
79.500000,4.845023441,64.120777715,39.839486942,0.000000,39.337500000
80.000000,4.844055404,64.115244453,39.839807845,0.000000,39.333333333
80.500000,4.843087450,64.109711146,39.840128753,0.000000,39.329166667
81.000000,4.842119579,64.104177795,39.840449668,0.000000,39.325000000
81.500000,4.841151791,64.098644399,39.840770588,0.000000,39.320833333
82.000000,4.840184085,64.093110959,39.841091514,0.000000,39.316666667
82.500000,4.839216463,64.087577474,39.841412446,0.000000,39.312500000
83.000000,4.838248923,64.082043945,39.841733383,0.000000,39.308333333
83.500000,4.837281466,64.076510371,39.842054326,0.000000,39.304166667
84.000000,4.836314092,64.070976752,39.842375275,0.000000,39.300000000
84.500000,4.835346801,64.065443089,39.842696230,0.000000,39.295833333
85.000000,4.834379593,64.059909381,39.843017190,0.000000,39.291666667
85.500000,4.833412467,64.054375629,39.843338156,0.000000,39.287500000
86.000000,4.832445424,64.048841832,39.843659128,0.000000,39.283333333
86.500000,4.831478464,64.043307990,39.843980106,0.000000,39.279166667
87.000000,4.830511587,64.037774104,39.844301089,0.000000,39.275000000
87.500000,4.829544793,64.032240173,39.844622079,0.000000,39.270833333
88.000000,4.828578081,64.026706198,39.844943074,0.000000,39.266666667
88.500000,4.827611452,64.021172178,39.845264074,0.000000,39.262500000
89.000000,4.826644906,64.015638114,39.845585081,0.000000,39.258333333
89.500000,4.825678443,64.010104005,39.845906093,0.000000,39.254166667
90.000000,4.824712062,64.004569851,39.846227111,0.000000,39.250000000
90.500000,4.823745764,63.999035653,39.846548134,0.000000,39.245833333
91.000000,4.822779549,63.993501410,39.846869164,0.000000,39.241666667
91.500000,4.821813417,63.987967122,39.847190199,0.000000,39.237500000
92.000000,4.820847367,63.982432791,39.847511240,0.000000,39.233333333
92.500000,4.819881400,63.976898414,39.847832287,0.000000,39.229166667
93.000000,4.818915516,63.971363993,39.848153339,0.000000,39.225000000
93.500000,4.817949714,63.965829527,39.848474397,0.000000,39.220833333
94.000000,4.816983995,63.960295017,39.848795461,0.000000,39.216666667
94.500000,4.816018359,63.954760462,39.849116531,0.000000,39.212500000
95.000000,4.815052806,63.949225862,39.849437607,0.000000,39.208333333
95.500000,4.814087335,63.943691218,39.849758688,0.000000,39.204166667
96.000000,4.813121947,63.938156529,39.850079775,0.000000,39.200000000
96.500000,4.812156641,63.932621796,39.850400867,0.000000,39.195833333
97.000000,4.811191418,63.927087018,39.850721966,0.000000,39.191666667
97.500000,4.810226278,63.921552196,39.851043070,0.000000,39.187500000
98.000000,4.809261220,63.916017329,39.851364180,0.000000,39.183333333
98.500000,4.808296245,63.910482417,39.851685296,0.000000,39.179166667
99.000000,4.807331353,63.904947461,39.852006418,0.000000,39.175000000
99.500000,4.806366543,63.899412460,39.852327545,0.000000,39.170833333
100.000000,4.805401816,63.893877414,39.852648678,0.000000,39.166666667
100.500000,4.804437172,63.888342324,39.852969817,0.000000,39.162500000
101.000000,4.803472610,63.882807190,39.853290961,0.000000,39.158333333
101.500000,4.802508130,63.877272010,39.853612112,0.000000,39.154166667
102.000000,4.801543734,63.871736786,39.853933268,0.000000,39.150000000
102.500000,4.800579420,63.866201518,39.854254429,0.000000,39.145833333
103.000000,4.799615188,63.860666205,39.854575597,0.000000,39.141666667
103.500000,4.798651039,63.855130847,39.854896770,0.000000,39.137500000
104.000000,4.797686973,63.849595445,39.855217950,0.000000,39.133333333
104.500000,4.796722989,63.844059998,39.855539134,0.000000,39.129166667
105.000000,4.795759087,63.838524506,39.855860325,0.000000,39.125000000
105.500000,4.794795269,63.832988970,39.856181522,0.000000,39.120833333
106.000000,4.793831532,63.827453389,39.856502724,0.000000,39.116666667
106.500000,4.792867878,63.821917764,39.856823932,0.000000,39.112500000
107.000000,4.791904307,63.816382094,39.857145145,0.000000,39.108333333
107.500000,4.790940819,63.810846379,39.857466365,0.000000,39.104166667
108.000000,4.789977412,63.805310620,39.857787590,0.000000,39.100000000
108.500000,4.789014089,63.799774816,39.858108821,0.000000,39.095833333
109.000000,4.788050847,63.794238968,39.858430058,0.000000,39.091666667
109.500000,4.787087689,63.788703075,39.858751300,0.000000,39.087500000
110.000000,4.786124612,63.783167137,39.859072549,0.000000,39.083333333
110.500000,4.785161619,63.777631155,39.859393803,0.000000,39.079166667
111.000000,4.784198707,63.772095128,39.859715062,0.000000,39.075000000
111.500000,4.783235878,63.766559056,39.860036328,0.000000,39.070833333
